Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:102PositionX,MarkerUnlabeled:102PositionY,MarkerUnlabeled:102PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.000003,-0.114992,-0.008512,0.99333,0.077459,0.424305,0.150204,0.000134,0.057958,0.447161,0.154623,0.978137,0.094725,0.445888,0.138414,0.97094,0.079693,0.379866,0.157574,0.950658,0.05797,0.447164,0.154614,0.094729,0.445952,0.138398,0.079669,0.379678,0.157495,,,,,,
1,0.008333,-0.000032,-0.114877,-0.008483,0.993344,0.077454,0.424306,0.15021,0.00013,0.057953,0.447161,0.154633,0.979232,0.094716,0.445889,0.138416,0.971452,0.079692,0.379868,0.157583,0.951611,0.057964,0.447162,0.154625,0.094722,0.445953,0.138399,0.079666,0.379683,0.157507,,,,,,
2,0.016667,-0.000019,-0.114725,-0.008494,0.993361,0.077457,0.424304,0.150216,0.000131,0.057958,0.447159,0.154645,0.979232,0.094717,0.445887,0.138417,0.971452,0.079697,0.379866,0.157586,0.951611,0.057972,0.447162,0.154635,0.094718,0.44595,0.138403,0.079673,0.379683,0.15751,,,,,,
3,0.025,-0.000043,-0.114596,-0.008462,0.993376,0.077462,0.424307,0.150225,0.000129,0.057963,0.447161,0.154658,0.979039,0.094717,0.44589,0.13842,0.97197,0.079706,0.379869,0.157597,0.952551,0.057974,0.447164,0.15465,0.094721,0.445952,0.138405,0.079682,0.379688,0.157522,,,,,,
4,0.033333,-0.000013,-0.114467,-0.008494,0.993391,0.077466,0.424305,0.150231,0.000126,0.05797,0.44716,0.154671,0.979039,0.09472,0.445888,0.138423,0.97197,0.07971,0.379867,0.1576,0.952551,0.057979,0.447162,0.154664,0.094726,0.44595,0.138406,0.079686,0.379688,0.157525,,,,,,
5,0.041667,-0.000088,-0.114349,-0.008401,0.993405,0.077472,0.424307,0.150239,0.000126,0.057973,0.44716,0.154679,0.979306,0.094719,0.445891,0.138423,0.972603,0.079725,0.379871,0.157614,0.953642,0.057984,0.447163,0.15467,0.094722,0.445952,0.138408,0.079702,0.379693,0.15754,,,,,,
6,0.05,-0.000053,-0.114262,-0.008429,0.993415,0.077473,0.424307,0.150244,0.000121,0.057975,0.447161,0.15469,0.979306,0.094718,0.445891,0.138427,0.972603,0.079725,0.37987,0.157615,0.953642,0.057984,0.447165,0.154682,0.094724,0.445949,0.138412,0.079704,0.379697,0.157542,,,,,,
7,0.058333,-0.000102,-0.114148,-0.008418,0.993428,0.077473,0.424309,0.150251,0.000127,0.057976,0.447162,0.154699,0.978786,0.094716,0.445892,0.138427,0.972987,0.079727,0.379872,0.157626,0.952617,0.057985,0.447168,0.15469,0.09472,0.44595,0.138413,0.079707,0.379691,0.157548,,,,,,
8,0.066667,-0.000072,-0.114061,-0.00842,0.993438,0.077473,0.424307,0.150254,0.000124,0.057976,0.44716,0.154706,0.978786,0.094713,0.44589,0.138429,0.972987,0.079728,0.37987,0.157626,0.952617,0.057988,0.447165,0.154697,0.094716,0.445948,0.138415,0.079708,0.379696,0.157552,,,,,,
9,0.075,-0.000106,-0.113938,-0.008413,0.993452,0.077469,0.424305,0.150257,0.000126,0.057974,0.447159,0.154713,0.978871,0.094707,0.445889,0.138427,0.973222,0.079727,0.379869,0.157632,0.9537,0.057985,0.447165,0.154705,0.09471,0.445946,0.138413,0.079708,0.379692,0.157555,,,,,,
10,0.083333,-0.000118,-0.113746,-0.008429,0.993474,0.077468,0.424304,0.150259,0.000125,0.057975,0.447158,0.154722,0.978871,0.094701,0.445886,0.138421,0.973222,0.079727,0.379867,0.157633,0.9537,0.057987,0.447161,0.154713,0.094704,0.445946,0.138407,0.079705,0.379691,0.15756,,,,,,
11,0.091667,-0.00016,-0.113629,-0.008421,0.993488,0.077466,0.424305,0.150263,0.000126,0.057974,0.447159,0.154729,0.979043,0.094697,0.445886,0.138419,0.97263,0.079727,0.379869,0.157641,0.953771,0.057986,0.447163,0.15472,0.094699,0.445946,0.138406,0.079706,0.379692,0.157566,,,,,,
12,0.1,-0.000185,-0.113547,-0.008386,0.993497,0.077469,0.424306,0.150264,0.000125,0.057976,0.44716,0.154732,0.979043,0.094696,0.445888,0.138416,0.97263,0.079734,0.379871,0.157644,0.953771,0.057988,0.447162,0.154723,0.094699,0.445949,0.138402,0.079711,0.379696,0.15757,,,,,,
13,0.108333,-0.000215,-0.113397,-0.008379,0.993514,0.077474,0.42431,0.150268,0.000127,0.057982,0.447163,0.15474,0.979266,0.094697,0.445891,0.138414,0.972322,0.079741,0.379875,0.15765,0.953254,0.057994,0.447166,0.154732,0.094701,0.445952,0.138399,0.079718,0.379696,0.157575,,,,,,
14,0.116667,-0.000234,-0.113338,-0.008372,0.993521,0.07748,0.424312,0.15027,0.000121,0.057989,0.447165,0.154744,0.979266,0.094702,0.445893,0.138413,0.972322,0.079749,0.379877,0.157653,0.953254,0.058001,0.447167,0.154735,0.094705,0.445952,0.138398,0.079726,0.379706,0.157582,,,,,,
15,0.125,-0.00022,-0.11327,-0.00836,0.993529,0.077484,0.424308,0.150274,0.00012,0.057993,0.447161,0.154751,0.980247,0.094704,0.44589,0.138415,0.97336,0.079755,0.379874,0.157656,0.955306,0.058004,0.447163,0.154744,0.094709,0.44595,0.1384,0.079731,0.379705,0.157587,,,,,,
16,0.133333,-0.000249,-0.113067,-0.008375,0.993552,0.077487,0.424307,0.150277,0.000121,0.057999,0.447161,0.154761,0.981191,0.094703,0.445888,0.138411,0.973341,0.07976,0.379873,0.157661,0.954778,0.058009,0.447161,0.154754,0.09471,0.445951,0.138394,0.079734,0.379702,0.157592,,,,,,
17,0.141667,-0.000221,-0.113009,-0.008364,0.993559,0.077483,0.424308,0.150282,0.00012,0.057995,0.44716,0.154769,0.981191,0.094697,0.445889,0.138414,0.973341,0.079758,0.379873,0.157662,0.954778,0.058005,0.447163,0.154762,0.094703,0.445948,0.138398,0.079736,0.379702,0.157591,,,,,,
18,0.15,-0.00023,-0.112917,-0.008391,0.993569,0.077481,0.424309,0.150283,0.000122,0.057995,0.447163,0.154774,0.980711,0.094694,0.445889,0.138412,0.972725,0.079755,0.379874,0.157664,0.954822,0.058007,0.447162,0.154766,0.094699,0.445952,0.138396,0.079729,0.379702,0.157594,,,,,,
19,0.158333,-0.00024,-0.112852,-0.008401,0.993576,0.077479,0.424307,0.150286,0.000126,0.057994,0.447161,0.154779,0.980711,0.094691,0.445887,0.138412,0.972725,0.079753,0.379872,0.157667,0.954822,0.058005,0.447164,0.154771,0.094696,0.445947,0.138397,0.07973,0.379694,0.157592,,,,,,
