Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:101PositionX,MarkerUnlabeled:101PositionY,MarkerUnlabeled:101PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,0.1,0.012278,-0.660874,0.005529,-0.750376,0.079769,0.424163,0.142667,0.000106,0.086001,0.447234,0.161404,0.972198,0.066078,0.445495,0.12653,0.980387,0.087228,0.379759,0.140068,0.968139,0.086008,0.447296,0.161444,0.066066,0.44552,0.126512,0.087227,0.379679,0.140033,,,,,,
13,0.108333,0.01228,-0.660878,0.005519,-0.750372,0.079765,0.424165,0.142668,0.000107,0.085997,0.447237,0.161405,0.972182,0.066074,0.445498,0.126531,0.979427,0.087225,0.379762,0.140068,0.967772,0.086005,0.447298,0.161446,0.06606,0.445523,0.126511,0.087224,0.379682,0.140033,,,,,,
14,0.116667,0.012269,-0.660889,0.005515,-0.750363,0.079758,0.424165,0.142667,0.000105,0.08599,0.447236,0.161405,0.972182,0.066066,0.445498,0.126531,0.979427,0.087218,0.379762,0.140066,0.967772,0.085998,0.447298,0.161444,0.066054,0.445523,0.126514,0.087217,0.379682,0.140031,,,,,,
15,0.125,0.012321,-0.660833,0.005484,-0.750412,0.079752,0.424162,0.142674,0.000105,0.085978,0.447235,0.161412,0.972715,0.06606,0.445493,0.126535,0.9802,0.087217,0.37976,0.140075,0.968103,0.085986,0.447296,0.161451,0.066047,0.445518,0.126517,0.087216,0.37968,0.140041,,,,,,
16,0.133333,0.012313,-0.660878,0.005472,-0.750372,0.079744,0.424161,0.142674,0.000102,0.085973,0.447232,0.161412,0.9736,0.06605,0.445492,0.126538,0.980585,0.087209,0.379758,0.140074,0.969352,0.08598,0.447291,0.16145,0.066037,0.445516,0.12652,0.087208,0.379682,0.140039,,,,,,
17,0.141667,0.012293,-0.660837,0.005493,-0.750409,0.079739,0.42416,0.142677,0.000106,0.085967,0.447231,0.161416,0.9736,0.066048,0.445492,0.126539,0.980585,0.087202,0.379757,0.140077,0.969352,0.085974,0.447294,0.161455,0.066035,0.445516,0.126521,0.0872,0.379677,0.140042,,,,,,
18,0.15,0.012273,-0.660823,0.005496,-0.750421,0.079737,0.424161,0.142682,0.000103,0.085965,0.447232,0.16142,0.972898,0.066047,0.445494,0.126543,0.981055,0.087198,0.379758,0.140081,0.968844,0.085972,0.447295,0.16146,0.066035,0.445516,0.126527,0.087196,0.379681,0.140043,,,,,,
19,0.158333,0.012273,-0.660843,0.0055,-0.750403,0.079739,0.424162,0.142687,0.000108,0.085969,0.447232,0.161425,0.972898,0.066049,0.445494,0.126549,0.981055,0.087201,0.379759,0.140086,0.968844,0.085977,0.447295,0.161467,0.066035,0.445519,0.126529,0.087199,0.379678,0.140051,,,,,,
20,0.166667,0.012285,-0.660851,0.005532,-0.750396,0.079741,0.424164,0.142688,0.000105,0.085971,0.447235,0.161425,0.972906,0.066051,0.445496,0.126549,0.980604,0.087201,0.37976,0.140089,0.967931,0.085978,0.447298,0.161463,0.06604,0.445521,0.126533,0.0872,0.37968,0.140053,,,,,,
21,0.175,0.012282,-0.660848,0.005516,-0.750399,0.079744,0.424163,0.142688,0.000108,0.085973,0.447234,0.161426,0.972906,0.066053,0.445495,0.12655,0.980604,0.087204,0.37976,0.140089,0.967931,0.085981,0.447296,0.161465,0.066041,0.445523,0.126532,0.087204,0.379677,0.140055,,,,,,
