Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:102PositionX,MarkerUnlabeled:102PositionY,MarkerUnlabeled:102PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.012665,-0.181864,0.005612,-0.983226,0.080824,0.424403,0.14913,0.00007,0.066974,0.447414,0.163303,0.986042,0.0883,0.445677,0.129269,0.975765,0.087196,0.380119,0.154818,0.985947,0.067004,0.447402,0.163252,0.088251,0.445744,0.129278,0.087188,0.380098,0.154871,,,,,,
1,0.008333,0.012629,-0.181743,0.005606,-0.983249,0.080843,0.424402,0.149141,0.000071,0.06699,0.447412,0.163312,0.985054,0.088324,0.445677,0.129283,0.976082,0.087214,0.380117,0.154827,0.985416,0.067021,0.447397,0.16326,0.088275,0.445744,0.129292,0.087205,0.3801,0.154881,,,,,,
2,0.016667,0.012658,-0.18157,0.005583,-0.983281,0.080866,0.424404,0.14915,0.00007,0.067006,0.447414,0.163316,0.985054,0.088353,0.445678,0.129294,0.976082,0.087238,0.380119,0.154841,0.985416,0.067036,0.447398,0.163265,0.088305,0.445745,0.129303,0.087229,0.380101,0.154894,,,,,,
3,0.025,0.012605,-0.181474,0.005562,-0.983299,0.080885,0.424404,0.149158,0.00007,0.067022,0.447412,0.163323,0.985221,0.088375,0.445681,0.129306,0.976398,0.087257,0.38012,0.154845,0.985781,0.067052,0.447397,0.163272,0.088327,0.445747,0.129316,0.087249,0.380103,0.154898,,,,,,
4,0.033333,0.01262,-0.18131,0.005556,-0.983329,0.080901,0.424406,0.149166,0.00007,0.067034,0.447414,0.163326,0.985221,0.088398,0.445683,0.129315,0.976398,0.087273,0.380122,0.154856,0.985781,0.067064,0.4474,0.163274,0.08835,0.445752,0.129324,0.087264,0.380099,0.154909,,,,,,
5,0.041667,0.012633,-0.18126,0.00558,-0.983338,0.080917,0.424407,0.149175,0.00007,0.067048,0.447416,0.163332,0.986399,0.088416,0.445682,0.129324,0.975998,0.087285,0.380122,0.154867,0.985166,0.067078,0.447401,0.163283,0.088369,0.445752,0.12933,0.087276,0.380101,0.154921,,,,,,
6,0.05,0.01257,-0.18114,0.005575,-0.983361,0.080933,0.424405,0.149182,0.000071,0.067062,0.447412,0.163339,0.986399,0.088438,0.445683,0.129336,0.975998,0.0873,0.38012,0.154871,0.985166,0.067092,0.447397,0.163289,0.08839,0.445752,0.129345,0.087291,0.380098,0.154923,,,,,,
7,0.058333,0.012599,-0.18108,0.005578,-0.983372,0.080946,0.424407,0.14919,0.000072,0.067073,0.447415,0.163345,0.985471,0.088453,0.445684,0.129344,0.975692,0.087313,0.380122,0.154883,0.984512,0.067103,0.447397,0.163294,0.088406,0.445755,0.129351,0.087303,0.380103,0.154938,,,,,,
8,0.066667,0.012622,-0.180948,0.005579,-0.983396,0.08096,0.424405,0.149202,0.000073,0.067082,0.447414,0.163351,0.985471,0.088472,0.445681,0.129356,0.975692,0.087325,0.380121,0.154898,0.984512,0.067113,0.447393,0.163301,0.088424,0.445751,0.129363,0.087315,0.380104,0.154953,,,,,,
9,0.075,0.012596,-0.180863,0.005563,-0.983412,0.08097,0.424408,0.149205,0.000075,0.067089,0.447416,0.163354,0.983908,0.088485,0.445686,0.129363,0.976031,0.087335,0.380124,0.1549,0.983978,0.067121,0.447394,0.163302,0.088438,0.445755,0.129371,0.087324,0.380109,0.154957,,,,,,
10,0.083333,0.012586,-0.180749,0.005586,-0.983433,0.080987,0.424406,0.149214,0.000073,0.067105,0.447414,0.16336,0.983908,0.088508,0.445683,0.129373,0.976031,0.08735,0.380121,0.15491,0.983978,0.067135,0.447395,0.163309,0.088462,0.445755,0.12938,0.087339,0.3801,0.154966,,,,,,
11,0.091667,0.01261,-0.180681,0.005559,-0.983445,0.081004,0.424407,0.149218,0.000076,0.067118,0.447415,0.163361,0.984482,0.088526,0.445684,0.129378,0.974394,0.087368,0.380123,0.154917,0.983961,0.06715,0.447395,0.163307,0.088478,0.445757,0.129387,0.087357,0.380101,0.154972,,,,,,
12,0.1,0.012621,-0.180511,0.005557,-0.983476,0.081013,0.424409,0.149221,0.000076,0.067122,0.447417,0.163358,0.984482,0.088542,0.445685,0.129382,0.974394,0.087376,0.380125,0.154922,0.983961,0.067154,0.447397,0.163305,0.088493,0.445759,0.12939,0.087365,0.380101,0.154978,,,,,,
13,0.108333,0.0126,-0.180463,0.005582,-0.983485,0.081025,0.424408,0.14922,0.000079,0.067134,0.447416,0.163356,0.983486,0.088557,0.445685,0.129383,0.974009,0.087385,0.380123,0.15492,0.983158,0.067167,0.447393,0.163301,0.088509,0.445759,0.129392,0.087373,0.380103,0.154979,,,,,,
14,0.116667,0.012579,-0.180393,0.005573,-0.983499,0.081035,0.424409,0.149221,0.000077,0.067141,0.447416,0.163356,0.983486,0.088569,0.445686,0.129386,0.974009,0.087394,0.380124,0.15492,0.983158,0.067174,0.447396,0.163301,0.08852,0.445759,0.129397,0.087383,0.380102,0.154977,,,,,,
15,0.125,0.012568,-0.180171,0.005574,-0.983539,0.08104,0.424408,0.149218,0.000078,0.06714,0.447415,0.163348,0.984466,0.088583,0.445686,0.129387,0.973654,0.087397,0.380123,0.15492,0.983637,0.067173,0.447395,0.163293,0.088535,0.445761,0.129397,0.087385,0.380098,0.154977,,,,,,
16,0.133333,0.012561,-0.180072,0.005564,-0.983558,0.081045,0.424409,0.149218,0.000077,0.067142,0.447416,0.163345,0.984429,0.088592,0.445687,0.129388,0.974387,0.087401,0.380124,0.15492,0.983575,0.067174,0.447394,0.163291,0.088545,0.445761,0.129397,0.08739,0.380102,0.154977,,,,,,
17,0.141667,0.01256,-0.179956,0.005605,-0.983579,0.081049,0.424408,0.149219,0.000077,0.067144,0.447416,0.163342,0.984429,0.088602,0.445686,0.129391,0.974387,0.087401,0.380123,0.154923,0.983575,0.067177,0.447394,0.163289,0.088555,0.445759,0.129399,0.087389,0.380103,0.15498,,,,,,
18,0.15,0.012577,-0.179913,0.005616,-0.983586,0.081055,0.424409,0.14922,0.00008,0.067149,0.447417,0.163341,0.982436,0.08861,0.445685,0.129392,0.974272,0.087406,0.380123,0.154926,0.983018,0.067184,0.447392,0.163285,0.088562,0.445759,0.129403,0.087393,0.380107,0.154985,,,,,,
19,0.158333,0.012565,-0.179705,0.005583,-0.983624,0.081062,0.42441,0.149216,0.000081,0.067149,0.447417,0.163333,0.982436,0.088625,0.445688,0.129392,0.974272,0.087414,0.380125,0.154924,0.983018,0.067184,0.447393,0.163276,0.088575,0.445762,0.129404,0.087401,0.380106,0.154983,,,,,,
