Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:102PositionX,MarkerUnlabeled:102PositionY,MarkerUnlabeled:102PositionZ
20,0.166667,0.012533,-0.179608,0.005672,-0.983642,0.08107,0.424408,0.14921,0.000078,0.067158,0.447418,0.163325,0.983563,0.08864,0.445685,0.129388,0.974388,0.087412,0.380122,0.154918,0.983912,0.067191,0.447397,0.163273,0.08859,0.445759,0.129403,0.087406,0.380104,0.154978,,,,,,
21,0.175,0.012522,-0.179477,0.005612,-0.983666,0.081074,0.424413,0.14921,0.000077,0.067156,0.44742,0.163322,0.983563,0.088647,0.445691,0.129391,0.974388,0.08742,0.380127,0.154917,0.983912,0.067189,0.447399,0.163266,0.088599,0.445763,0.129402,0.087409,0.380107,0.154973,,,,,,
22,0.183333,0.012529,-0.17934,0.005595,-0.983691,0.081076,0.42441,0.149208,0.000078,0.067153,0.447417,0.163315,0.983242,0.088654,0.445689,0.12939,0.97462,0.087422,0.380124,0.154917,0.983635,0.067187,0.447394,0.16326,0.088606,0.445761,0.129401,0.08741,0.380107,0.154974,,,,,,
23,0.191667,0.012503,-0.179276,0.005588,-0.983703,0.081073,0.424409,0.149201,0.000079,0.067148,0.447415,0.163308,0.983242,0.088653,0.445689,0.129386,0.97462,0.087419,0.380123,0.154909,0.983635,0.067183,0.447392,0.163252,0.088605,0.445761,0.129398,0.087406,0.380106,0.154965,,,,,,
24,0.2,0.012532,-0.179154,0.005572,-0.983725,0.081069,0.424408,0.149193,0.000081,0.067139,0.447415,0.163296,0.982282,0.088652,0.445688,0.129379,0.973491,0.087415,0.380123,0.154905,0.983202,0.067174,0.447391,0.163237,0.088603,0.445762,0.129392,0.087402,0.380104,0.154963,,,,,,
25,0.208333,0.012515,-0.179039,0.005582,-0.983747,0.081061,0.424408,0.149185,0.00008,0.067128,0.447414,0.163285,0.982282,0.08865,0.445688,0.129373,0.973491,0.087404,0.380122,0.154897,0.983202,0.067163,0.447391,0.163226,0.0886,0.44576,0.129387,0.087392,0.380104,0.154953,,,,,,
26,0.216667,0.012524,-0.178936,0.005554,-0.983765,0.081054,0.424408,0.149177,0.000081,0.067117,0.447413,0.163273,0.982086,0.088645,0.445688,0.129366,0.974041,0.087399,0.380122,0.15489,0.983487,0.067152,0.447389,0.163215,0.088597,0.44576,0.12938,0.087386,0.380106,0.154947,,,,,,
27,0.225,0.012545,-0.178842,0.005518,-0.983782,0.081045,0.424408,0.149164,0.000082,0.067104,0.447413,0.163258,0.982086,0.088639,0.445688,0.129354,0.974041,0.087393,0.380124,0.15488,0.983487,0.067139,0.447387,0.163199,0.08859,0.445763,0.129367,0.087379,0.380108,0.154939,,,,,,
28,0.233333,0.012539,-0.17867,0.005518,-0.983814,0.081042,0.424406,0.149154,0.00008,0.067095,0.44741,0.163243,0.982117,0.088642,0.445686,0.129347,0.97386,0.087387,0.380121,0.154872,0.983961,0.06713,0.447388,0.163184,0.088593,0.445757,0.129363,0.087375,0.380103,0.154928,,,,,,
29,0.241667,0.01249,-0.178567,0.005499,-0.983833,0.081041,0.424403,0.149141,0.000078,0.067091,0.447406,0.16323,0.982117,0.088645,0.445686,0.129338,0.97386,0.087387,0.380118,0.154856,0.983961,0.067126,0.447383,0.163173,0.088597,0.445756,0.129352,0.087375,0.380103,0.154912,,,,,,
30,0.25,0.012538,-0.178483,0.005554,-0.983848,0.081039,0.424403,0.14913,0.000079,0.067089,0.447408,0.163213,0.982239,0.088649,0.445683,0.129326,0.974006,0.08738,0.380118,0.154851,0.984339,0.067124,0.447388,0.163154,0.0886,0.445753,0.129342,0.087369,0.380101,0.154906,,,,,,
31,0.258333,0.012489,-0.17837,0.005537,-0.983869,0.081035,0.424404,0.149117,0.000078,0.067081,0.447408,0.163199,0.982487,0.088648,0.445686,0.129317,0.973755,0.087375,0.380119,0.154835,0.985116,0.067116,0.44739,0.163139,0.088599,0.445755,0.129336,0.087365,0.380099,0.154889,,,,,,
32,0.266667,0.012529,-0.178215,0.005509,-0.983896,0.081022,0.424405,0.149109,0.00008,0.067062,0.447409,0.163185,0.982487,0.08864,0.445686,0.12931,0.973755,0.087363,0.38012,0.154832,0.985116,0.067097,0.44739,0.163124,0.088591,0.445757,0.129329,0.087353,0.3801,0.154886,,,,,,
33,0.275,0.012485,-0.178117,0.005522,-0.983915,0.08101,0.4244,0.149095,0.000078,0.067048,0.447403,0.16317,0.983008,0.088633,0.445682,0.129299,0.973471,0.087349,0.380115,0.154816,0.985147,0.067083,0.447387,0.16311,0.088583,0.445753,0.129317,0.087339,0.380093,0.154869,,,,,,
34,0.283333,0.012509,-0.177992,0.005521,-0.983937,0.080993,0.424398,0.149081,0.000076,0.067027,0.447401,0.163152,0.983008,0.088621,0.445679,0.129286,0.973471,0.087331,0.380113,0.154805,0.985147,0.067061,0.447384,0.163095,0.088572,0.445748,0.129302,0.087321,0.380095,0.154859,,,,,,
35,0.291667,0.012542,-0.177886,0.005506,-0.983956,0.080979,0.424397,0.149071,0.000079,0.06701,0.447401,0.163137,0.982012,0.088611,0.445677,0.129276,0.973855,0.087318,0.380113,0.154799,0.984831,0.067045,0.447382,0.163077,0.088561,0.445747,0.129295,0.087307,0.380095,0.154854,,,,,,
36,0.3,0.01253,-0.177765,0.005503,-0.983978,0.080964,0.424401,0.149054,0.000079,0.066991,0.447405,0.163118,0.982012,0.0886,0.445682,0.129262,0.973855,0.087301,0.380117,0.154783,0.984831,0.067025,0.447387,0.163058,0.088551,0.445754,0.129279,0.087291,0.380096,0.154838,,,,,,
37,0.308333,0.012505,-0.17771,0.0055,-0.983988,0.080954,0.424399,0.149033,0.00008,0.066979,0.447402,0.163096,0.982624,0.088592,0.445681,0.129243,0.97283,0.087291,0.380115,0.154761,0.98445,0.067014,0.447385,0.163035,0.088543,0.445755,0.129261,0.08728,0.380093,0.154817,,,,,,
38,0.316667,0.012514,-0.177593,0.005459,-0.98401,0.080944,0.4244,0.149012,0.00008,0.066964,0.447401,0.163071,0.982624,0.088585,0.445682,0.129223,0.97283,0.087283,0.380115,0.154741,0.98445,0.066999,0.447384,0.16301,0.088536,0.445754,0.129242,0.087273,0.380095,0.154797,,,,,,
39,0.325,0.012543,-0.177476,0.005484,-0.98403,0.080933,0.424399,0.148993,0.000081,0.066951,0.447402,0.163048,0.981854,0.08858,0.44568,0.129205,0.972668,0.08727,0.380115,0.154726,0.984709,0.066987,0.447385,0.162985,0.08853,0.445752,0.129226,0.087259,0.380095,0.154783,,,,,,
40,0.333333,0.012495,-0.177429,0.005472,-0.984039,0.080921,0.4244,0.148975,0.000081,0.066936,0.447402,0.163031,0.981854,0.088569,0.445683,0.129189,0.972668,0.087257,0.380116,0.154704,0.984709,0.066973,0.447384,0.162968,0.088519,0.445754,0.12921,0.087246,0.380098,0.154762,,,,,,
41,0.341667,0.012529,-0.177381,0.005498,-0.984047,0.080903,0.424402,0.148956,0.000082,0.066919,0.447405,0.163009,0.981753,0.088554,0.445683,0.12917,0.972869,0.087237,0.380118,0.15469,0.984087,0.066955,0.447386,0.162947,0.088505,0.445756,0.129189,0.087225,0.380099,0.154749,,,,,,
42,0.35,0.012553,-0.17729,0.005513,-0.984063,0.080882,0.424405,0.148939,0.00008,0.066895,0.447409,0.162988,0.981753,0.088537,0.445685,0.129153,0.972869,0.087214,0.38012,0.154677,0.984087,0.06693,0.447392,0.162927,0.088488,0.445755,0.129174,0.087203,0.380104,0.154735,,,,,,
43,0.358333,0.01257,-0.177196,0.005525,-0.98408,0.080859,0.424406,0.148925,0.000079,0.066869,0.447411,0.162971,0.981985,0.088518,0.445685,0.12914,0.97338,0.087189,0.380122,0.154665,0.985295,0.066905,0.447396,0.162908,0.088469,0.445755,0.129162,0.087179,0.380104,0.154722,,,,,,
44,0.366667,0.012578,-0.177142,0.0056,-0.984089,0.080832,0.424402,0.148906,0.000079,0.066845,0.44741,0.162949,0.981985,0.088496,0.445679,0.129121,0.97338,0.087155,0.380118,0.154649,0.985295,0.06688,0.447392,0.162889,0.08845,0.445751,0.12914,0.087144,0.380097,0.154708,,,,,,
45,0.375,0.012588,-0.177042,0.005585,-0.984107,0.080814,0.4244,0.148886,0.00008,0.066823,0.447407,0.162925,0.982429,0.088481,0.445677,0.129101,0.973492,0.087137,0.380116,0.15463,0.984395,0.066858,0.447389,0.162865,0.088435,0.445749,0.12912,0.087125,0.380097,0.154688,,,,,,
46,0.383333,0.01256,-0.176976,0.005616,-0.984119,0.08079,0.424404,0.148866,0.000079,0.066798,0.447411,0.162905,0.983177,0.088461,0.445681,0.129084,0.97339,0.087109,0.380119,0.15461,0.984147,0.066833,0.447393,0.162847,0.088416,0.445754,0.129101,0.087097,0.380097,0.154669,,,,,,
47,0.391667,0.012553,-0.176879,0.005618,-0.984137,0.08077,0.424404,0.148847,0.000078,0.066776,0.447411,0.162883,0.983177,0.088445,0.445682,0.129067,0.97339,0.087088,0.380119,0.154592,0.984147,0.06681,0.447393,0.162826,0.0884,0.445752,0.129084,0.087076,0.3801,0.154651,,,,,,
48,0.4,0.01252,-0.176783,0.005666,-0.984154,0.08075,0.424407,0.148822,0.000077,0.066756,0.447415,0.162857,0.984366,0.088432,0.445685,0.129044,0.973581,0.087063,0.380121,0.154565,0.984352,0.066789,0.447398,0.1628,0.088387,0.445757,0.129059,0.08705,0.380096,0.154624,,,,,,
49,0.408333,0.012475,-0.176584,0.005694,-0.98419,0.080722,0.424406,0.148797,0.000077,0.066724,0.447414,0.162827,0.984366,0.088414,0.445685,0.129023,0.973581,0.08703,0.380119,0.154539,0.984352,0.066757,0.447396,0.162772,0.088369,0.445759,0.129037,0.087017,0.380093,0.154598,,,,,,
50,0.416667,0.012418,-0.176514,0.005739,-0.984203,0.080694,0.424402,0.148771,0.000074,0.066696,0.44741,0.162802,0.985807,0.08839,0.445682,0.129001,0.9732,0.086996,0.380114,0.15451,0.985434,0.066728,0.447397,0.162746,0.088345,0.445754,0.129017,0.086985,0.380083,0.154564,,,,,,
51,0.425,0.01185,-0.176368,0.006276,-0.984233,0.080638,0.424395,0.148725,0.000123,0.066664,0.447407,0.162772,0.985807,0.088368,0.445683,0.128977,0.9732,0.086883,0.380093,0.154425,0.985434,0.066695,0.447398,0.162719,0.088323,0.445753,0.128992,0.086829,0.37997,0.154482,,,,,,
52,0.433333,0.012342,-0.176209,0.005882,-0.984258,0.080633,0.424401,0.148722,0.000074,0.066633,0.447411,0.162747,0.987345,0.088349,0.44568,0.128959,0.972422,0.086919,0.38011,0.154461,0.984912,0.066665,0.447399,0.162693,0.088304,0.445756,0.128971,0.086907,0.380072,0.154514,,,,,,
53,0.441667,0.012292,-0.176025,0.005891,-0.984291,0.080606,0.4244,0.148699,0.000072,0.066602,0.44741,0.16272,0.987345,0.08833,0.445681,0.128941,0.972422,0.086888,0.380109,0.154436,0.984912,0.066633,0.447398,0.162667,0.088285,0.445754,0.128954,0.086878,0.380073,0.154487,,,,,,
54,0.45,0.012235,-0.175896,0.005886,-0.984315,0.08058,0.424398,0.148674,0.000072,0.066572,0.447407,0.162694,0.987641,0.088308,0.445681,0.12892,0.973015,0.08686,0.380106,0.154408,0.985102,0.066603,0.447394,0.162642,0.088264,0.445756,0.128931,0.086849,0.380069,0.15446,,,,,,
55,0.458333,0.012227,-0.175738,0.005916,-0.984343,0.080556,0.424397,0.148648,0.00007,0.066545,0.447406,0.162663,0.987641,0.088292,0.44568,0.128896,0.973015,0.086832,0.380105,0.154383,0.985102,0.066575,0.447394,0.162611,0.088248,0.44575,0.128909,0.086822,0.380073,0.154433,,,,,,
56,0.466667,0.012241,-0.175573,0.00589,-0.984373,0.080531,0.424395,0.148622,0.000072,0.066514,0.447404,0.162632,0.98612,0.088273,0.445678,0.128873,0.973848,0.086807,0.380103,0.15436,0.985909,0.066546,0.447391,0.162578,0.088226,0.445748,0.128887,0.086798,0.380073,0.154411,,,,,,
57,0.475,0.01215,-0.175372,0.005859,-0.98441,0.080502,0.424393,0.148597,0.000073,0.066478,0.447399,0.162606,0.98612,0.088251,0.445681,0.128855,0.973848,0.086777,0.380101,0.15433,0.985909,0.06651,0.447387,0.162552,0.088205,0.445752,0.128869,0.086767,0.380068,0.154381,,,,,,
58,0.483333,0.012153,-0.175264,0.005877,-0.984429,0.080472,0.424393,0.148567,0.000071,0.066446,0.447399,0.162573,0.987928,0.088226,0.445679,0.128826,0.973525,0.086745,0.3801,0.154301,0.9852,0.066476,0.447388,0.162522,0.088181,0.445752,0.128836,0.086735,0.380063,0.154352,,,,,,
59,0.491667,0.012172,-0.175169,0.0058,-0.984446,0.080436,0.424393,0.148536,0.000072,0.066404,0.447398,0.162539,0.987928,0.08819,0.445681,0.128797,0.973525,0.086715,0.380102,0.154273,0.9852,0.066434,0.447384,0.162488,0.088145,0.445755,0.128806,0.086704,0.380069,0.154326,,,,,,
60,0.5,0.012194,-0.175034,0.005812,-0.98447,0.0804,0.424392,0.148508,0.000074,0.066364,0.447397,0.162505,0.986737,0.08816,0.445679,0.128769,0.973341,0.086677,0.3801,0.154248,0.984095,0.066395,0.447381,0.162454,0.088115,0.445755,0.128778,0.086664,0.380069,0.154304,,,,,,
61,0.508333,0.012188,-0.174978,0.005833,-0.98448,0.080363,0.424389,0.148484,0.000078,0.066326,0.447395,0.162481,0.986154,0.088126,0.445675,0.128747,0.972607,0.086637,0.380097,0.154225,0.98307,0.066358,0.447376,0.162428,0.08808,0.445755,0.128755,0.086623,0.380065,0.154285,,,,,,
62,0.516667,0.012149,-0.174851,0.005821,-0.984503,0.08033,0.424387,0.148455,0.000075,0.066289,0.447391,0.16245,0.986154,0.088098,0.445675,0.128722,0.972607,0.086603,0.380095,0.154194,0.98307,0.066321,0.447373,0.162398,0.088053,0.445751,0.12873,0.08659,0.380066,0.154253,,,,,,
63,0.525,0.012126,-0.174766,0.005802,-0.984518,0.080301,0.424388,0.148428,0.000077,0.066257,0.447391,0.162421,0.985307,0.088071,0.445677,0.128697,0.973972,0.086575,0.380096,0.154166,0.983021,0.066289,0.447371,0.16237,0.088027,0.445754,0.128704,0.08656,0.380071,0.154227,,,,,,
64,0.533333,0.012133,-0.17471,0.005801,-0.984528,0.080271,0.424393,0.148404,0.000076,0.066225,0.447396,0.162396,0.985307,0.088044,0.445682,0.128674,0.973972,0.086544,0.3801,0.154143,0.983021,0.066257,0.447374,0.162346,0.088001,0.445758,0.12868,0.08653,0.380078,0.154206,,,,,,
65,0.541667,0.012195,-0.174605,0.005829,-0.984546,0.080237,0.424393,0.14838,0.000076,0.066189,0.447398,0.162366,0.984888,0.088015,0.445679,0.128649,0.975136,0.086508,0.380101,0.154126,0.98274,0.066221,0.447375,0.162316,0.087972,0.445754,0.128654,0.086493,0.380082,0.154189,,,,,,
66,0.55,0.012118,-0.174488,0.005841,-0.984567,0.080205,0.424396,0.14835,0.000078,0.066155,0.4474,0.162335,0.984888,0.087988,0.445684,0.128623,0.975136,0.086472,0.380103,0.154091,0.98274,0.066188,0.447375,0.162284,0.087946,0.445759,0.128632,0.086457,0.380088,0.154156,,,,,,
67,0.558333,0.012112,-0.174392,0.005852,-0.984585,0.08017,0.424393,0.148322,0.00008,0.066118,0.447398,0.162305,0.983608,0.087958,0.445682,0.128597,0.974225,0.086435,0.3801,0.154064,0.982064,0.066152,0.447372,0.162252,0.087916,0.445759,0.128605,0.08642,0.380081,0.154129,,,,,,
68,0.566667,0.012072,-0.17431,0.00589,-0.984599,0.080132,0.424392,0.14829,0.00008,0.066079,0.447396,0.162272,0.983608,0.087924,0.445681,0.128568,0.974225,0.086392,0.380098,0.154031,0.982064,0.066113,0.447371,0.162219,0.087883,0.445756,0.128578,0.086377,0.380081,0.154095,,,,,,
69,0.575,0.012056,-0.174232,0.005946,-0.984613,0.080093,0.424393,0.14826,0.000081,0.06604,0.447399,0.16224,0.982976,0.087891,0.445682,0.128539,0.974567,0.086347,0.380099,0.154001,0.981687,0.066075,0.447371,0.162187,0.087851,0.445759,0.128548,0.086331,0.380082,0.154066,,,,,,
70,0.583333,0.011419,-0.174097,0.006481,-0.984641,0.08003,0.424383,0.148211,0.000112,0.066003,0.447392,0.162211,0.982976,0.087861,0.445682,0.128515,0.974567,0.086226,0.380074,0.153906,0.981687,0.066037,0.447367,0.162155,0.087818,0.44576,0.128527,0.086169,0.379967,0.153974,,,,,,
71,0.591667,0.011919,-0.173985,0.006047,-0.984658,0.080018,0.42439,0.148203,0.000085,0.065964,0.447396,0.162181,0.982405,0.087832,0.445681,0.128491,0.972722,0.086259,0.380092,0.153936,0.981184,0.066001,0.447367,0.162124,0.08779,0.445762,0.128502,0.086242,0.380071,0.154001,,,,,,
72,0.6,0.011894,-0.173779,0.006111,-0.984694,0.079983,0.424387,0.148178,0.000085,0.065926,0.447395,0.162151,0.982405,0.087807,0.445678,0.12847,0.972722,0.086216,0.380089,0.153914,0.981184,0.065964,0.447368,0.162091,0.087762,0.445757,0.128486,0.0862,0.380066,0.153975,,,,,,
73,0.608333,0.011853,-0.173485,0.006069,-0.984747,0.079948,0.424387,0.148151,0.000083,0.065881,0.447392,0.162117,0.981569,0.087782,0.44568,0.128449,0.973566,0.086181,0.380088,0.153885,0.98263,0.065918,0.447366,0.162059,0.087738,0.445755,0.128464,0.086166,0.380071,0.153945,,,,,,
74,0.616667,0.011827,-0.173283,0.00611,-0.984782,0.079917,0.424386,0.148123,0.000083,0.065846,0.447392,0.162085,0.981569,0.087762,0.44568,0.128426,0.973566,0.086144,0.380087,0.153859,0.98263,0.065883,0.447366,0.162028,0.087718,0.445757,0.128439,0.086128,0.380067,0.15392,,,,,,
75,0.625,0.011805,-0.173152,0.00613,-0.984805,0.079886,0.424385,0.148096,0.000083,0.065812,0.447391,0.162054,0.98187,0.087736,0.445678,0.128401,0.973387,0.086109,0.380085,0.153832,0.982537,0.065849,0.447365,0.161996,0.087692,0.445754,0.128415,0.086094,0.380067,0.153892,,,,,,
